ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
FOSL,104964.0,2004-05-24,2004-06-19,23.2,20.0,-0.1379,2004-05-24,0.05,0.3,0.133,2004-06-19,0.0,0.25,0.168,-0.035,0.0067,0.0969,62920.69,31.0,62000.0,-108.5,62812.19
WLP,111951.0,2004-05-24,2004-06-19,110.47,100.0,-0.0948,2004-05-24,0.35,0.55,0.416,2004-06-19,0.0,0.1,0.067,0.349,0.0042,0.0597,62920.69,6.0,60000.0,209.4,63130.090000000004
COLM,103190.0,2004-05-24,2004-06-19,53.36,50.0,-0.063,2004-05-24,0.4,0.6,0.466,2004-06-19,0.0,0.15,0.101,0.365,0.0093,0.1368,62920.69,13.0,65000.0,474.5,63395.19
CVH,103485.0,2004-05-24,2004-06-19,46.17,40.0,-0.1336,2004-05-24,0.15,0.3,0.2,2004-06-19,0.0,0.05,0.034,0.166,0.005,0.0715,62920.69,16.0,64000.0,265.6,63186.29
AXL,101341.0,2004-05-24,2004-06-19,33.47,30.0,-0.1037,2004-05-24,0.05,0.3,0.133,2004-06-19,0.0,0.25,0.168,-0.035,0.0044,0.0627,62920.69,21.0,63000.0,-73.5,62847.19
DCI,103915.0,2004-05-24,2004-06-19,26.48,25.0,-0.0559,2004-05-24,0.05,0.3,0.133,2004-06-19,0.0,0.2,0.134,-0.0010000000000000009,0.0053,0.0759,62920.69,25.0,62500.0,-2.5,62918.19
MDC,107084.0,2004-05-24,2004-06-19,60.72,54.5,-0.1024,2004-05-24,0.4,0.55,0.45,2004-06-19,0.0,0.15,0.101,0.349,0.0083,0.1213,62920.69,12.0,65400.0,418.8,63339.490000000005
OCAI,108545.0,2004-06-02,2004-06-19,8.35,7.5,-0.1018,2004-06-02,0.1,0.15,0.117,2004-06-19,0.0,0.05,0.034,0.083,0.0156,0.3879,62920.69,84.0,63000.0,697.2,63617.89
SHOO,107149.0,2004-05-24,2004-06-19,19.07,17.5,-0.0823,2004-05-24,0.1,0.45,0.216,2004-06-19,0.0,0.35,0.234,-0.018000000000000016,0.0123,0.1844,62920.69,36.0,63000.0,-64.8,62855.89
FCN,104576.0,2004-05-24,2004-06-19,16.19,15.0,-0.0735,2004-05-24,0.2,0.4,0.266,2004-06-19,0.0,0.05,0.034,0.232,0.0177,0.275,62920.69,42.0,63000.0,974.4,63895.090000000004
SAFM,109900.0,2004-06-01,2004-06-19,47.03,40.0,-0.1495,2004-06-01,0.15,0.4,0.233,2004-06-19,0.0,0.25,0.168,0.065,0.0058,0.1226,62920.69,16.0,64000.0,104.0,63024.69
DHI,103651.0,2004-05-24,2004-06-19,26.83,25.0,-0.0682,2004-05-24,0.3,0.4,0.333,2004-06-19,0.0,0.05,0.034,0.29900000000000004,0.0133,0.2007,62920.69,25.0,62500.0,747.5,63668.19
WGO,112069.0,2004-05-24,2004-06-19,26.95,25.0,-0.0724,2004-05-24,0.45,0.65,0.516,2004-06-19,0.0,0.15,0.101,0.41500000000000004,0.0206,0.3262,62920.69,25.0,62500.0,1037.5,63958.19
GME,113993.0,2004-05-24,2004-06-19,15.64,15.0,-0.0409,2004-05-24,0.45,0.55,0.483,2004-06-19,0.0,0.15,0.101,0.382,0.0322,0.5509,62920.69,42.0,63000.0,1604.4,64525.090000000004
THO,111015.0,2004-05-24,2004-06-19,26.93,25.0,-0.0717,2004-05-24,0.35,0.5,0.399,2004-06-19,0.0,0.05,0.034,0.365,0.016,0.2458,62920.69,25.0,62500.0,912.5,63833.19
S,110002.0,2004-05-28,2004-06-19,38.1,35.0,-0.0814,2004-05-28,0.1,0.2,0.133,2004-06-19,0.0,0.05,0.034,0.099,0.0038,0.064,62920.69,18.0,63000.0,178.2,63098.89
UOPX,101591.0,2004-05-24,2004-06-19,83.18,75.0,-0.0983,2004-05-24,0.55,0.7,0.6,2004-06-19,0.0,0.05,0.034,0.566,0.008,0.1166,62920.69,8.0,60000.0,452.8,63373.490000000005
HRB,102244.0,2004-05-26,2004-06-19,48.28,45.0,-0.0679,2004-05-26,0.25,0.35,0.283,2004-06-19,0.0,0.05,0.034,0.24899999999999997,0.0063,0.0988,62920.69,14.0,63000.0,348.6,63269.29
PHM,109297.0,2004-05-24,2004-06-19,48.95,45.0,-0.0807,2004-05-24,0.45,0.55,0.483,2004-06-19,0.0,0.05,0.034,0.44899999999999995,0.0107,0.1588,62920.69,14.0,63000.0,628.6,63549.29
UHS,111493.0,2004-05-24,2004-06-19,43.05,40.0,-0.0708,2004-05-24,0.65,0.85,0.716,2004-06-19,0.0,0.2,0.134,0.582,0.0179,0.2785,62920.69,16.0,64000.0,931.2,63851.89
ROST,109706.0,2004-05-24,2004-06-19,25.01,22.5,-0.1004,2004-05-24,0.1,0.25,0.15,2004-06-19,0.0,0.1,0.067,0.08299999999999999,0.0067,0.0969,62920.69,28.0,63000.0,232.4,63153.090000000004
